COD_CIDADE,COD_REG,Região de Saúde,Casos,População Total,População Normalizada,casos_normalizados_cem_mil,casos_normalizados
1,3,. Cruzeiro,199.0,3151400,0.0676285435384584,6.314653804658247,0.016878371324169132
2,3,. Lago Norte,283.0,3582100,0.0783537860828336,7.900393623851931,0.02418653210370628
3,3,. Lago Sul,223.0,2937700,0.0623070103791063,7.590972529529904,0.018966417261179747
4,3,. Plano Piloto,1047.0,20618300,0.5025873060143037,5.078013221264605,0.0906559944318775
5,3,. Sudoeste Octogonal,146.0,5003300,0.1137443472717493,2.9180740711130655,0.012267269879937358
6,3,. Varjão,84.0,879300,0.0110489670697452,9.553053565336064,0.006873151209326606
7,3,. Candangolândia,101.0,1601900,0.0290430703030061,6.3050127973032035,0.008352183748042457
8,3,. Estrutural,353.0,3068700,0.0655691575193736,11.503242415355036,0.030276666086653907
9,3,. Guará,745.0,10784700,0.2577121142697771,6.907934388531902,0.0643814163911606
10,3,. Núcleo Bandeirante,143.0,2313400,0.0467607625953742,6.181378058269214,0.012006264137811033
11,3,. Park Way,92.0,2034500,0.0398156264318584,4.521995576308676,0.007569166521663477
12,4,. Riacho Fundo I,283.0,3529100,0.0770339860947865,8.019041682015246,0.02418653210370628
13,4,. Riacho Fundo II,1023.0,3710800,0.081558658883997,27.56817936833028,0.08856794849486689
14,3,. SIA,8.0,435600,0.0,1.8365472910927456,0.0002610057421263268
15,5,. Jardim Botânico,309.0,3586500,0.0784633543837281,8.615641990798828,0.026448581868801113
16,5,. Itapoã,551.0,5208900,0.1188641751499093,10.578049108257021,0.047503045066991476
17,5,. Paranoá,1006.0,4828100,0.1093815367452238,20.836353845197905,0.08708891595615104
18,5,. São Sebastião,2099.0,7457000,0.1748461063410163,28.148048813195658,0.18218200800417608
19,2,. Fercal,49.0,876300,0.0109742614100444,5.591692342804976,0.003828084217852793
20,2,. Planaltina,2164.0,17265700,0.4191012411100265,12.533520216382769,0.18783713241691316
21,2,. Sobradinho,1694.0,7025200,0.1640934717214176,24.11319250697489,0.14694623281712196
22,2,. Sobradinho II,725.0,8083000,0.1904346873319122,8.969442038846964,0.06264137811031843
23,1,. Brazlândia,2545.0,5797400,0.1335189353945454,43.8989892020561,0.22098486166695666
24,1,. Ceilândia,5280.0,40593200,1.0,13.007104638215267,0.4589350965721246
25,3,. Águas Claras,743.0,9892800,0.2355021216407355,7.510512696102216,0.06420741256307638
26,4,. Recanto Das Emas,2566.0,12361500,0.2969774090085065,20.75799862476237,0.22281190186184097
27,4,. Samambaia,3518.0,20123000,0.490253401597705,17.482482731203103,0.30563772402992867
28,3,. Taguatinga,2169.0,20570200,0.5013895252704345,10.544379733789658,0.18827214198712372
29,3,. Vicente Pires,1099.0,6106600,0.1412185987210391,17.996921363770348,0.09518009396206717
30,4,. Gama,933.0,13454900,0.3242051317807837,6.934276731896929,0.08073777623107709
31,4,. Santa Maria,670.0,11969100,0.2872059087196446,5.597747533231404,0.05785627283800244
32,7,Angra dos Reis,3248.0,16743400,0.4060949857561209,19.39868843842947,0.28214720723855924
34,6,Campos de Goytacazes,8300.0,4835400,0.1095633205171623,171.6507424411631,0.7216808769792935
36,10,Macaé,604.0,24639100,0.6027128115226009,2.4513882406419065,0.052114146511223244
37,11,Arraial do Cabo,134.0,3098600,0.0663137239277247,4.324533660362745,0.011223246911432052
